epoch,step,trainMulticlassAccuracy_epoch,trainMulticlassAccuracy_step,train_loss_epoch,train_loss_step
0,49,,0.0,,0.13815374672412872
0,99,,0.0,,0.1078622117638588
0,149,,0.0,,0.10166771709918976
0,199,,0.0,,0.09881801158189774
0,249,,0.0,,0.09785790741443634
0,299,,0.0,,0.09329910576343536
0,349,,0.0,,0.09367786347866058
0,399,,1.0,,0.08826318383216858
0,449,,0.0,,0.0908307433128357
0,499,,0.0,,0.0908360481262207
0,549,,0.0,,0.09202827513217926
0,599,,1.0,,0.08560499548912048
0,649,,0.0,,0.0906045138835907
0,699,,0.0,,0.0915246307849884
0,749,,0.0,,0.0891747772693634
0,799,,0.0,,0.08893784880638123
0,849,,0.0,,0.09119122475385666
0,899,,1.0,,0.08510784804821014
0,949,,0.0,,0.09484482556581497
0,999,,0.0,,0.09065735340118408
0,1049,,0.0,,0.09092263877391815
0,1099,,0.0,,0.08956748992204666
0,1149,,0.0,,0.09035855531692505
0,1199,,0.0,,0.09285236150026321
0,1249,,0.0,,0.09189114719629288
0,1299,,1.0,,0.08439930528402328
0,1349,,1.0,,0.08250059932470322
0,1399,,0.0,,0.09234177321195602
0,1449,,0.0,,0.09132294356822968
0,1499,,0.0,,0.09031952917575836
0,1549,,0.0,,0.0908716693520546
0,1599,,0.0,,0.08788514137268066
0,1649,,0.0,,0.09076894074678421
0,1699,,1.0,,0.08775439858436584
0,1749,,0.0,,0.09016384929418564
0,1799,,1.0,,0.0880967453122139
0,1849,,0.0,,0.09110871702432632
0,1899,,0.0,,0.09253668040037155
0,1949,,0.0,,0.08914550393819809
0,1999,,0.0,,0.09178817272186279
0,2049,,0.0,,0.09230773150920868
0,2099,,0.0,,0.0923323780298233
0,2149,,0.0,,0.09094201773405075
0,2199,,1.0,,0.08816087245941162
0,2249,,0.0,,0.09023382514715195
0,2299,,0.0,,0.08834932744503021
0,2349,,0.0,,0.08987324684858322
0,2399,,1.0,,0.08559521287679672
0,2449,,1.0,,0.08650575578212738
0,2499,,0.0,,0.08896690607070923
0,2549,,0.0,,0.09048619121313095
0,2599,,0.0,,0.08994844555854797
0,2649,,0.0,,0.09256081283092499
0,2699,,0.0,,0.08976585417985916
0,2749,,0.0,,0.08920065313577652
0,2799,,1.0,,0.08710002899169922
0,2849,,0.0,,0.09228889644145966
0,2899,,0.0,,0.09125823527574539
