epoch,step,trainMulticlassAccuracy_epoch,trainMulticlassAccuracy_step,train_loss_epoch,train_loss_step
0,49,,0.0,,0.09910910576581955
0,99,,0.0,,0.09618999063968658
0,149,,0.0,,0.08944566547870636
0,199,,0.0,,0.0945052057504654
0,249,,0.0,,0.09305313974618912
0,299,,1.0,,0.02028472162783146
0,349,,1.0,,0.010161006823182106
0,399,,0.0,,0.07993903756141663
0,449,,1.0,,0.023187583312392235
0,499,,0.0,,0.09845006465911865
0,549,,0.0,,0.07486063987016678
0,599,,0.0,,0.0634443461894989
0,649,,1.0,,0.01779608055949211
0,699,,1.0,,0.0193267073482275
0,749,,1.0,,0.0347740575671196
0,799,,1.0,,0.0374174527823925
0,849,,0.0,,0.08968044817447662
0,899,,1.0,,0.011963584460318089
0,949,,1.0,,0.0685807466506958
0,999,,1.0,,0.03699495270848274
0,1049,,1.0,,0.03835233300924301
0,1099,,1.0,,0.05913558602333069
0,1149,,1.0,,0.0594431534409523
0,1199,,1.0,,0.01642739400267601
0,1249,,1.0,,0.025969401001930237
0,1299,,0.0,,0.11179196834564209
0,1349,,1.0,,0.06947530806064606
0,1399,,1.0,,0.018596746027469635
0,1449,,0.0,,0.13953638076782227
0,1499,,0.0,,0.08156950771808624
0,1549,,1.0,,8.72228411026299e-05
0,1599,,0.0,,0.13400638103485107
0,1649,,0.0,,0.06992518901824951
0,1699,,1.0,,0.04152396693825722
0,1749,,0.0,,0.06339959800243378
0,1799,,1.0,,0.003074543084949255
0,1849,,0.0,,0.11990790069103241
0,1899,,1.0,,0.00020994125225115567
0,1949,,1.0,,0.0021337156649678946
0,1999,,1.0,,0.021298473700881004
0,2049,,1.0,,0.0032684903126209974
0,2099,,1.0,,0.0011594848474487662
0,2149,,1.0,,0.007133932318538427
0,2199,,1.0,,0.012147435918450356
0,2249,,1.0,,0.004868383053690195
0,2299,,1.0,,0.019662022590637207
0,2349,,1.0,,0.0034255534410476685
0,2399,,1.0,,0.010807709768414497
0,2449,,0.0,,0.12184669077396393
0,2499,,1.0,,0.051932621747255325
0,2549,,1.0,,0.0005593845853582025
0,2599,,0.0,,0.10723769664764404
0,2649,,1.0,,0.00989612191915512
0,2699,,1.0,,0.003082132199779153
0,2749,,1.0,,0.0015189090045168996
0,2799,,1.0,,0.0012454615207388997
0,2849,,1.0,,0.042885228991508484
