epoch,step,testMulticlassAccuracy_epoch,testMulticlassAccuracy_step,test_loss_epoch,test_loss_step,trainMulticlassAccuracy_epoch,trainMulticlassAccuracy_step,train_loss_epoch,train_loss_step
0,49,,,,,,0.0,,0.18445181846618652
0,99,,,,,,1.0,,0.11701080948114395
0,149,,,,,,0.0,,0.09288569539785385
0,199,,,,,,0.0,,0.0993279367685318
0,249,,,,,,0.0,,0.08988839387893677
0,299,,,,,,0.0,,0.09585770219564438
0,349,,,,,,0.0,,0.08564723283052444
0,399,,,,,,0.0,,0.09825997799634933
0,449,,,,,,0.0,,0.09570464491844177
0,499,,,,,,1.0,,0.08229844272136688
0,549,,,,,,0.0,,0.0901055783033371
0,599,,,,,,0.0,,0.08894151449203491
0,649,,,,,,1.0,,0.08480959385633469
0,699,,,,,,1.0,,0.08939001709222794
0,749,,,,,,0.0,,0.08935682475566864
0,799,,,,,,0.0,,0.09121881425380707
0,849,,,,,,0.0,,0.09642362594604492
0,899,,,,,,0.0,,0.0944099947810173
0,949,,,,,,0.0,,0.08953366428613663
0,999,,,,,,1.0,,0.08466462790966034
0,1049,,,,,,0.0,,0.09075765311717987
0,1099,,,,,,1.0,,0.08367552608251572
0,1149,,,,,,0.0,,0.09771055728197098
0,1199,,,,,,0.0,,0.09418612718582153
0,1249,,,,,,0.0,,0.0934915617108345
0,1299,,,,,,0.0,,0.08801131695508957
0,1349,,,,,,1.0,,0.07708762586116791
0,1399,,,,,,0.0,,0.09487531334161758
0,1449,,,,,,0.0,,0.0907135084271431
0,1499,,,,,,0.0,,0.09105893224477768
0,1549,,,,,,0.0,,0.09288354218006134
0,1599,,,,,,0.0,,0.08987497538328171
0,1649,,,,,,0.0,,0.08883289247751236
0,1699,,,,,,1.0,,0.08401034027338028
0,1749,,,,,,0.0,,0.08749522268772125
0,1799,,,,,,0.0,,0.09045182913541794
0,1849,,,,,,0.0,,0.0869072750210762
0,1899,,,,,,0.0,,0.09375704824924469
0,1949,,,,,,1.0,,0.05413530394434929
0,1999,,,,,,1.0,,0.05676983669400215
0,2049,,,,,,1.0,,0.06674379855394363
0,2099,,,,,,0.0,,0.0819934755563736
0,2149,,,,,,0.0,,0.08995901793241501
0,2199,,,,,,1.0,,0.06787847727537155
0,2249,,,,,,0.0,,0.08798813819885254
0,2299,,,,,,1.0,,0.015497858636081219
0,2349,,,,,,0.0,,0.09156107902526855
0,2399,,,,,,0.0,,0.09374144673347473
0,2449,,,,,,0.0,,0.10255424678325653
0,2499,,,,,,1.0,,0.014028264209628105
0,2549,,,,,,1.0,,0.056784093379974365
0,2599,,,,,,0.0,,0.08413956314325333
0,2649,,,,,,1.0,,0.05981826037168503
0,2699,,,,,,0.0,,0.07924313843250275
0,2749,,,,,,1.0,,0.06686249375343323
0,2799,,,,,,0.0,,0.08788108080625534
0,2849,,,,,,1.0,,0.0694250538945198
0,2899,,,,,,0.0,,0.13448134064674377
0,2949,,,,,,1.0,,0.053059350699186325
0,2999,,,,,,0.0,,0.09776173532009125
0,3049,,,,,,0.0,,0.0723472312092781
0,3099,,,,,,1.0,,0.05735247582197189
0,3149,,,,,,0.0,,0.08065496385097504
0,3199,,,,,,1.0,,0.013030004687607288
0,3249,,,,,,0.0,,0.08792295306921005
0,3299,,,,,,0.0,,0.07696035504341125
